disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1258,,,,,9574047.21,1178287.29,8395759.92,2020-07-21T00:00:00.000Z,,2546649,de6f338830b3938f4997c6a187da9d78,2020-07-21T11:55:48.121Z,5aa2d583cb4f0f7020b17e82
1268,,,,,721979.29,43929.52,655398.71,2020-07-21T00:00:00.000Z,,120352,6679fee8a9945c16e999953252512fe3,2020-07-21T11:55:26.027Z,5aa2d583cb4f0f7020b17e87
1241,,,,,,,,,,302741,cdb3511d86a8653c09a3f67907919323,2020-06-10T05:42:28.848Z,5aa2d583cb4f0f7020b17e8c
1265,,,,,6970269.48,2590192.47,4349918.09,2020-07-21T00:00:00.000Z,,1319820,efb0388f7ae4e21a249013e29bbe43ed,2020-07-21T11:55:26.023Z,5aa2d583cb4f0f7020b17e91
1247,,,,,611049043.19,210172543.92,400876499.27,2020-07-21T00:00:00.000Z,,220712228,6bdabac33da050175755007f8cfcec20,2020-07-21T11:55:48.115Z,5aa2d583cb4f0f7020b17e96
1272,,,,,40588743.22,29892462.64,10342694.45,2020-07-21T00:00:00.000Z,,12665798,ac6c4be5e57c0577c72c07b3faaf8a29,2020-07-21T11:55:26.057Z,5aa2d583cb4f0f7020b17e9b
1243,,,,,3647893.61,2212669.86,1435223.75,2020-07-21T00:00:00.000Z,,580602,162c640f8ec61c0917361f1922ab138a,2020-07-21T11:55:48.107Z,5aa2d583cb4f0f7020b17e7f
1239,,,,,8225378.98,4219882.47,3961713.95,2020-07-21T00:00:00.000Z,,3887494,169f0cda058391ac4bf4564be79a15b3,2020-07-21T11:55:25.980Z,5aa2d583cb4f0f7020b17e84
1278,,,,,501235.42,20563.57,469397.28,2020-07-21T00:00:00.000Z,,113954,c850f72bd800e48a6528e27e96d61176,2020-07-21T11:55:26.073Z,5aa2d583cb4f0f7020b17e89
1250,,,,,33075261.2,6459569.14,26615692.06,2020-07-21T00:00:00.000Z,,6689836,5c4e190f5ca7249dd2e2ee3c89b7e3b2,2020-07-21T11:55:48.134Z,5aa2d583cb4f0f7020b17e8e
1275,,,,,5322523.58,2426827.39,2821849.55,2020-07-21T00:00:00.000Z,,853245,602f46d81b49bd68bbc623d7d088b455,2020-07-21T11:55:26.071Z,5aa2d583cb4f0f7020b17e93
1257,,,,,33279674.22,9756691.41,23183628.92,2020-07-21T00:00:00.000Z,,18906913,ffc4b1718d1f06ebb632064077f728e9,2020-07-21T11:55:26.000Z,5aa2d583cb4f0f7020b17e98
1285,,,,,518798.92,331705.11,182722.6,2020-07-21T00:00:00.000Z,,86350,f12ea972b29252280e7e6d38e98c06c5,2020-07-21T11:55:26.081Z,5aa2d583cb4f0f7020b17e9d
1310,,,,,4680340.29,1386231.25,3245139.39,2020-07-21T00:00:00.000Z,,250405,4823b6912c57c9a1d03d3b73121e0382,2020-07-21T11:55:26.173Z,5aa2d583cb4f0f7020b17ea2
1335,,,,,31020492.12,4053927.92,26379603.98,2020-07-21T00:00:00.000Z,,2766765,052c80151f5b2d5ea2d28c4e818dfed3,2020-07-21T11:55:26.338Z,5aa2d583cb4f0f7020b17ea7
1282,,,,,10955690.74,1814403.47,8883933.06,2020-07-21T00:00:00.000Z,,2636499,101a314c5caa43a84236d0db4ed3f540,2020-07-21T11:55:26.077Z,5aa2d583cb4f0f7020b17eac
1256,,,,,,,,,,645473,7d53eee15b53d2fbe396168dae9130a1,2020-06-10T04:55:39.758Z,5aa2d583cb4f0f7020b17eb1
1263,,,,,1579219.78,113278.63,1465941.15,2020-07-21T00:00:00.000Z,,235411,ebf9acb9791402d47983d759e2399477,2020-07-21T11:55:48.140Z,5aa2d583cb4f0f7020b17e83
1273,,,,,3144097.57,2597610.34,546487.23,2020-07-21T00:00:00.000Z,,1764725,314aa5b7cab51f0e6868c52bc2627dba,2020-07-21T11:55:26.059Z,5aa2d583cb4f0f7020b17e88
